type,title,pageUrl
article,Irish Soda Bread Scones,https://www.allrecipes.com/irish-soda-bread-scones-recipe-8550478
article,I Tried Snoop Dogg’s 5-Ingredient Fried Bologna Sandwich and It’s as Legendary as He Is,https://www.allrecipes.com/copycat-snoop-dogg-sandwich-recipe-8608076
article,"Slow Cooker Chicken Thighs, Green Beans, and Potatoes",https://www.allrecipes.com/slow-cooker-chicken-thighs-green-beans-and-potatoes-recipe-8620224
article,Fried Deviled Eggs,https://www.allrecipes.com/fried-deviled-eggs-recipe-8608719
article,Puff Pastry Squares with Boursin and Tomatoes,https://www.allrecipes.com/puff-pastry-squares-with-boursin-and-tomatoes-recipe-8608313
article,Roasted Asparagus with Hollandaise Sauce,https://www.allrecipes.com/roasted-asparagus-with-hollandaise-sauce-recipe-8623061
article,One Pot Creamy Ground Beef and Orzo,https://www.allrecipes.com/one-pot-creamy-ground-beef-and-orzo-recipe-8610788
article,Gochujang Caramel Cookies,https://www.allrecipes.com/gochujang-caramel-cookies-recipe-8622049
article,Skillet-Roasted Radishes with Mint Gremolata,https://www.allrecipes.com/skillet-roasted-radishes-with-mint-gremolata-recipe-8607365
article,Chili Oil Smashed Potatoes,https://www.allrecipes.com/chili-oil-smashed-potatoes-recipe-8622456
article,Ground Turkey Stir Fry,https://www.allrecipes.com/ground-turkey-stir-fry-recipe-8612814
article,Gochujang-Sauced Air Fryer Cauliflower Bites,https://www.allrecipes.com/gochujang-sauced-air-fryer-cauliflower-bites-recipe-8606780
article,Cinnamon Roll Focaccia,https://www.allrecipes.com/cinnamon-roll-focaccia-recipe-8610782
article,One Pan Chicken Breast and Asparagus in Lemon Cream Sauce,https://www.allrecipes.com/one-pan-chicken-breast-and-asparagus-in-lemon-cream-sauce-recipe-8620633
article,Roasted Celeriac Reubens,https://www.allrecipes.com/roasted-celeriac-reubens-recipe-8606828
article,Asparagus and Ham Quiche Bites,https://www.allrecipes.com/asparagus-and-ham-quiche-bites-recipe-8619511
article,Veggie Lo Mein,https://www.allrecipes.com/veggie-lo-mein-recipe-8620468
article,Pork Recipes,https://www.allrecipes.com/recipes/205/meat-and-poultry/pork/
article,Roasted Cauliflower and Garlic Soup,https://www.allrecipes.com/roasted-cauliflower-and-garlic-soup-recipe-8612883
article,Naked Eggs Benedict,https://www.allrecipes.com/naked-eggs-benedict-recipe-8607937
article,Black-Eyed Susan Cocktails,https://www.allrecipes.com/black-eyed-susan-cocktails-recipe-8604059
